ST_CASE,WEATHERNAME
123055,Clear
123056,Clear
123057,Clear
123058,Clear
123059,Rain
123060,Clear
123061,Clear
123062,Clear
123063,Clear
123064,Clear
123065,Clear
123066,Cloudy
123067,Clear
123068,Clear
123069,Clear
123070,Clear
123071,Clear
123072,Clear
123073,Clear
123074,Clear
123075,Clear
123077,Clear
123078,Clear
123079,Clear
123080,Clear
123081,Clear
123082,Clear
123083,Clear
123084,Clear
123085,Cloudy
123086,Clear
123087,Cloudy
123088,Clear
123089,Rain
123090,"Fog, Smog, Smoke"
123091,Rain
123092,Rain
123093,Clear
123094,Clear
123095,Cloudy
123096,Clear
123097,Clear
123098,Clear
123099,Rain
123100,Clear
123101,Clear
123103,Clear
123104,Clear
123105,Rain
123106,Clear
123107,Clear
123108,"Fog, Smog, Smoke"
123109,Clear
123110,Clear
123111,Clear
123112,Clear
123113,Cloudy
123114,Clear
123115,Cloudy
123116,Clear
123117,Clear
123118,Clear
123119,Clear
123120,Clear
123121,Clear
123122,Clear
123124,Clear
123126,Clear
123127,Clear
123128,Clear
123129,Clear
123130,Clear
123131,Clear
123132,Clear
123133,Cloudy
123134,Cloudy
123135,Clear
123136,Cloudy
123137,Clear
123138,Clear
123139,Clear
123140,Clear
123141,Clear
123142,Clear
123143,Clear
123144,Clear
123145,Cloudy
123146,Clear
123147,Cloudy
123149,Clear
123150,Clear
123151,Clear
123152,Cloudy
123153,Clear
123154,Clear
123155,Clear
123156,Clear
123157,Cloudy
123158,Clear
123159,Clear
123160,Clear
123161,Clear
123162,Clear
123163,Cloudy
123164,Clear
123166,Clear
123167,Clear
123168,Clear
123169,Other
123170,Clear
123171,Cloudy
123172,Clear
123173,Clear
123174,Clear
123175,Clear
123176,Clear
123177,Clear
123178,Clear
123179,Clear
123180,Clear
123181,Clear
123182,Clear
123183,Clear
123184,Clear
123185,Clear
123186,Clear
123187,Clear
123188,Cloudy
123189,Clear
123190,Cloudy
123191,Clear
123192,Clear
123193,Clear
123194,Clear
123195,Clear
123196,Clear
123197,Rain
123198,Cloudy
123199,Clear
123200,Cloudy
123201,Cloudy
123202,Clear
123203,Clear
123205,Cloudy
123206,Clear
123207,Clear
123208,Clear
123209,Clear
123210,Clear
123211,Clear
123212,Clear
123213,Clear
123214,Clear
123215,Clear
123216,Clear
123217,Clear
123218,Clear
123219,Clear
123220,Clear
123221,Clear
123222,Clear
123223,Clear
123225,Clear
123227,Clear
123228,Clear
123229,Cloudy
123230,Clear
123233,Clear
123234,Rain
123235,Clear
123236,Clear
123237,Clear
123238,Clear
123239,Clear
123240,Clear
123242,Clear
123243,Rain
123244,Clear
123245,Clear
123246,Clear
123248,Clear
123250,Clear
123251,Clear
123252,Cloudy
123253,Clear
123254,Clear
123255,Clear
123256,Clear
123257,Clear
123258,Clear
123260,Clear
123261,Rain
123264,Cloudy
123265,Clear
123266,Clear
123267,Clear
123268,Clear
123270,Clear
123272,Clear
123274,Clear
123275,Clear
123276,Cloudy
123277,Clear
123278,Clear
123279,Clear
123280,Clear
123281,Clear
123282,Clear
123283,Clear
123284,Clear
123285,Clear
123286,Clear
123287,Clear
123288,Clear
123289,Cloudy
123290,Rain
123291,Clear
123292,Clear
123293,Clear
123294,Clear
123295,Clear
123296,Cloudy
123297,Rain
123298,Rain
123299,Clear
123300,Clear
123301,Clear
123302,Clear
123303,Clear
123304,Clear
123305,Clear
123306,Cloudy
123307,Clear
123308,Clear
123309,Clear
123310,Clear
123311,Clear
123312,Rain
123313,Clear
123316,Clear
123318,Clear
123319,Clear
123320,Clear
123321,Rain
123322,Clear
123323,Clear
123324,Clear
123325,Rain
130001,Clear
130002,Clear
130003,Clear
130004,Cloudy
130005,Rain
130006,Not Reported
130007,Clear
130008,Clear
130009,Cloudy
130010,Rain
130011,Cloudy
130012,Cloudy
130013,Rain
130014,Rain
130015,Cloudy
130016,Clear
130017,Clear
130018,Clear
130019,Cloudy
130020,Clear
130021,Clear
130022,Cloudy
130023,Clear
130024,Clear
130025,Clear
130026,Rain
130027,Cloudy
130028,Clear
130029,Cloudy
130030,Clear
130031,Cloudy
130032,Cloudy
130033,Cloudy
130034,Cloudy
130036,Clear
130037,"Fog, Smog, Smoke"
130039,Rain
130040,Rain
130041,Cloudy
130042,Cloudy
130043,Clear
130044,Clear
130045,Clear
130046,Rain
130047,"Fog, Smog, Smoke"
130048,Clear
130049,Clear
130050,Clear
130051,Clear
130052,Clear
130053,Rain
130054,Clear
130055,Clear
130056,Clear
130057,Clear
130058,Clear
130059,Clear
130060,Clear
130061,Clear
130062,Clear
130063,Rain
130063,Cloudy
130064,Clear
130065,Rain
130066,Clear
130067,Clear
130068,Rain
130069,Rain
130069,Cloudy
130070,Rain
130070,Cloudy
130071,Clear
130072,Rain
130072,Cloudy
130073,Clear
130074,Clear
130075,Clear
130076,Clear
130077,Rain
130077,Cloudy
130078,Clear
130079,Clear
130080,Clear
130081,Clear
130082,Clear
130083,Clear
130084,Clear
130085,Rain
130085,Cloudy
130087,Clear
130088,Rain
130089,Clear
130090,Rain
130091,Clear
130092,Clear
130093,Clear
130094,Cloudy
130095,Clear
130096,Clear
130097,Clear
130098,Rain
130099,Clear
130100,Rain
130101,Cloudy
130102,Rain
130102,Cloudy
130103,Clear
130104,Cloudy
130105,Cloudy
130106,Cloudy
130107,Clear
130109,Rain
130110,Cloudy
130111,Cloudy
130112,Rain
130113,Cloudy
130114,Rain
130115,Clear
130116,Cloudy
130117,Cloudy
130119,Rain
130120,Clear
130121,Clear
130122,Clear
130123,Clear
130124,Rain
130125,Clear
130126,Clear
130127,Clear
130128,Cloudy
130129,Clear
130130,Clear
130131,Clear
130132,Clear
130133,Clear
130134,Clear
130135,Clear
130136,Clear
130137,Clear
130138,Clear
130139,Clear
130140,Clear
130141,Clear
130142,Clear
130143,Clear
130144,Rain
130146,Clear
130147,Rain
130148,Rain
130149,Clear
130150,Clear
130151,Clear
130152,Rain
130153,Clear
130154,Snow
130155,Clear
130156,Rain
130157,Clear
130158,Cloudy
130159,Clear
130160,Clear
130161,Rain
130162,Clear
130163,Clear
130164,Clear
130165,Rain
130165,"Fog, Smog, Smoke"
130166,Rain
130167,Clear
130168,Clear
130169,Rain
130170,Clear
130171,Cloudy
130172,Cloudy
130173,Clear
130174,Cloudy
130175,Clear
130176,Clear
130177,Clear
130178,Clear
130179,Clear
130180,Clear
130182,Cloudy
130183,Rain
130184,Clear
130185,Clear
130186,Clear
130187,Cloudy
130188,"Fog, Smog, Smoke"
130189,Clear
130190,Clear
130191,Clear
130192,Clear
130193,Rain
130194,Clear
130195,Clear
130196,Rain
130197,Clear
130198,Clear
130199,Clear
130200,Clear
130201,Rain
130202,Rain
130203,Clear
130204,Rain
130205,Rain
130206,Clear
130207,Clear
130208,Rain
130209,Clear
130210,Clear
130211,Clear
130212,Cloudy
130213,Clear
130214,Clear
130215,Cloudy
130216,Clear
130217,Clear
130218,Clear
130219,"Fog, Smog, Smoke"
130220,Rain
130221,Rain
130222,Clear
130223,Clear
130224,Clear
130225,Rain
130226,Rain
130227,Clear
130228,Rain
130229,Clear
130230,Clear
130231,Rain
130232,"Fog, Smog, Smoke"
130233,Rain
130234,Cloudy
130236,Clear
130237,Rain
130238,Clear
130239,Clear
130240,Clear
130242,Cloudy
130243,Cloudy
130244,Rain
130245,Cloudy
130246,Rain
130247,Cloudy
130248,Cloudy
130249,Clear
130250,Clear
130251,Clear
130252,Clear
130253,Rain
130254,Clear
130255,Clear
130256,Clear
130257,Clear
130258,Clear
130259,Clear
130260,Clear
130261,Clear
130262,Clear
130263,Clear
130264,Rain
130265,Snow
130266,Rain
130267,Rain
130268,Clear
130269,Rain
130270,Clear
130271,Clear
130272,Cloudy
130273,Cloudy
130274,Cloudy
130275,Cloudy
130276,Cloudy
130277,Cloudy
130278,Cloudy
130279,Clear
130280,Clear
130281,Cloudy
130282,Clear
130283,Rain
130283,Cloudy
130284,Cloudy
130285,Clear
130286,Rain
130287,Cloudy
130288,Clear
130289,"Fog, Smog, Smoke"
130290,Clear
130291,Rain
130292,"Fog, Smog, Smoke"
130293,Clear
130294,Clear
130295,Clear
130296,Clear
130297,Clear
130298,Clear
130299,Rain
130300,Clear
130301,Clear
130302,Clear
130303,Clear
130304,Clear
130305,Clear
130306,Clear
130307,Clear
130308,Clear
130309,Clear
130310,Clear
130311,Clear
130312,Clear
130313,Clear
130314,Clear
130315,Clear
130316,Clear
130317,Clear
130318,Clear
130319,Clear
130320,Clear
130321,Clear
130322,Clear
130323,Clear
130324,Clear
130325,Clear
130326,Cloudy
130327,Clear
130328,Clear
130329,Cloudy
130330,Clear
130331,Rain
130331,Cloudy
130332,Clear
130333,Cloudy
130334,Clear
130335,Cloudy
130336,Clear
130337,Clear
130338,Clear
130339,Clear
130340,Rain
130340,Cloudy
130341,Clear
130342,Clear
130343,Clear
130344,Clear
130345,Clear
130346,Clear
130347,Clear
130348,Clear
130349,Clear
130350,Clear
130351,Clear
130352,Clear
130353,Clear
130354,Cloudy
130355,Clear
130356,Clear
130357,Rain
130357,Cloudy
130358,Clear
130359,Clear
130360,Clear
130361,Clear
130362,Rain
130363,Clear
130364,Clear
130366,Clear
130367,Clear
130368,Clear
130369,Clear
130370,Rain
130371,Rain
130372,Rain
130373,Cloudy
130374,Rain
130375,Clear
130376,Clear
130378,Clear
130379,Clear
130380,Clear
130381,Clear
130382,Rain
130383,Rain
130384,Clear
130386,Clear
130387,Clear
130388,Clear
130389,Clear
130390,Clear
130391,Clear
130392,Clear
130393,Rain
130395,Clear
130397,Clear
130398,Clear
130399,Clear
130401,Cloudy
130402,Clear
130403,Clear
130404,Clear
130405,Clear
130406,Clear
130407,Clear
130408,Clear
130409,Clear
130410,Clear
130411,Clear
130412,Clear
130413,Clear
130414,Clear
130415,Clear
130416,Clear
130417,Clear
130418,Cloudy
130419,Clear
130420,Clear
130421,Clear
130422,Clear
130423,Clear
130424,Clear
130425,Clear
130426,Clear
130427,Cloudy
130428,Cloudy
130429,Clear
130430,Clear
130431,Rain
130433,Clear
130434,Clear
130435,Clear
130436,Clear
130437,Clear
130438,Clear
130439,Clear
130440,Clear
130441,Clear
130442,Clear
130443,Clear
130444,Clear
130445,Clear
130446,Clear
130447,Clear
130448,Clear
130449,Clear
130450,Clear
130452,Clear
130453,Clear
130454,Cloudy
130455,Clear
130456,Clear
130457,Clear
130458,Clear
130459,Clear
130460,Rain
130461,Clear
130462,Clear
130463,Clear
130464,Rain
130465,Rain
130466,Cloudy
130467,Cloudy
130468,Cloudy
130469,Cloudy
130470,Clear
130471,Cloudy
130472,Clear
130473,Clear
130474,Cloudy
130475,Clear
130476,Cloudy
130477,Clear
130478,Rain
130479,Clear
130480,Cloudy
130481,Clear
130482,Cloudy
130484,Clear
130485,Clear
130486,Clear
130487,Clear
130488,Cloudy
130489,Rain
130490,Clear
130491,Rain
130492,Clear
130493,Rain
130493,Cloudy
130494,Rain
130494,Cloudy
130495,Clear
130496,Clear
130497,Clear
130498,Cloudy
130499,Cloudy
130500,Rain
130500,Cloudy
130501,Clear
130502,Clear
130503,Rain
130503,Cloudy
130504,Clear
130505,Clear
130506,Clear
130507,Clear
130508,Clear
130509,Cloudy
130510,Clear
130511,Clear
130512,Clear
130513,Clear
130514,Clear
130515,Clear
130516,Clear
130517,Clear
130518,Clear
130519,Clear
130520,Clear
130521,Clear
130522,Clear
130523,Clear
130524,Clear
130525,Clear
130526,Clear
130527,Clear
130528,Clear
130529,Clear
130530,Clear
130531,Clear
130532,Clear
130533,Clear
130534,Clear
130535,Clear
130536,Cloudy
130537,Clear
130538,Clear
130539,Clear
130540,Clear
130541,Clear
130542,Clear
130543,Clear
130544,Cloudy
130545,Clear
130546,Cloudy
130547,Clear
130548,Clear
130549,Clear
130550,Clear
130551,Clear
130552,Clear
130553,Clear
130554,Clear
130555,Clear
130556,Clear
130557,Clear
130558,Clear
130559,Cloudy
130560,Clear
130561,Clear
130562,Cloudy
130563,Rain
130564,Rain
130564,Cloudy
130565,Cloudy
130566,Cloudy
130567,Clear
130568,Clear
130569,Rain
130569,Cloudy
130570,Rain
130570,Cloudy
130571,Clear
130572,Clear
130573,Clear
130574,Clear
130575,Clear
130576,Cloudy
130577,Rain
130578,Clear
130579,Clear
130580,Clear
130581,Clear
130582,Clear
130583,Clear
130584,Cloudy
130585,Clear
130586,Clear
130587,Cloudy
130588,Clear
130589,Clear
130590,Clear
130591,Clear
130592,Clear
130593,Rain
130594,Clear
130595,Clear
130596,Clear
130597,Clear
130598,Clear
130599,Clear
130600,Cloudy
130601,Clear
130602,Clear
130603,Clear
130604,Cloudy
130605,Cloudy
130606,Rain
130607,Cloudy
130608,Clear
130609,Clear
130610,Clear
130611,Cloudy
130612,Clear
130613,Cloudy
130615,Clear
130616,Clear
130617,Cloudy
130618,Clear
130619,Clear
130620,Cloudy
130621,Clear
130622,Cloudy
130623,Clear
130625,Reported as Unknown
130626,Clear
130627,Clear
130628,Cloudy
130629,Clear
130630,Cloudy
130631,Clear
130632,Cloudy
130633,Clear
130634,Rain
130635,Clear
130636,Rain
130637,Clear
130638,Cloudy
130639,Cloudy
130640,Clear
130641,Cloudy
130642,Clear
130643,Clear
130644,"Fog, Smog, Smoke"
130645,Clear
130646,Clear
130647,Cloudy
130648,Clear
130649,Clear
130650,Clear
130651,Clear
130652,Cloudy
130653,Clear
130654,Clear
130655,Clear
130656,Clear
130657,Clear
130658,Cloudy
130659,Clear
130660,Clear
130661,Clear
130662,Clear
130663,Rain
130664,Clear
130665,Rain
130665,Other
130666,Cloudy
130667,Cloudy
130668,Clear
130669,Clear
130670,Clear
130671,Clear
130672,Clear
130673,Cloudy
130674,Clear
130675,Clear
130676,Clear
130677,Clear
130678,Cloudy
130679,Cloudy
130680,Clear
130681,Clear
130682,Cloudy
130683,Clear
130684,Cloudy
130685,Cloudy
130686,Cloudy
130687,Rain
130688,Cloudy
130689,Clear
130690,Cloudy
130691,Cloudy
130692,Cloudy
130693,Rain
130694,Cloudy
130695,Clear
130696,Clear
130697,Clear
130698,Cloudy
130699,Cloudy
130700,Clear
130701,Clear
130702,Clear
130703,Clear
130704,Cloudy
130705,Clear
130706,Clear
130707,Clear
130708,Clear
130709,Clear
130710,Clear
130711,Clear
130712,Clear
130713,Clear
130714,Clear
130715,Cloudy
130716,Clear
130717,Clear
130718,Clear
130719,Clear
130720,Clear
130721,Clear
130722,Clear
130723,Clear
130724,Cloudy
130725,Rain
130726,Clear
130727,Clear
130728,Cloudy
130729,Clear
130730,Cloudy
130731,Cloudy
130732,Clear
130733,Clear
130734,Clear
130735,Clear
130736,Clear
130737,Clear
130738,Clear
130739,Clear
130740,Clear
130741,Clear
130742,Clear
130743,Clear
130744,Cloudy
130746,Clear
130747,Clear
130748,Clear
130749,Clear
130750,Clear
130751,Clear
130752,Clear
130753,Clear
130754,Clear
130755,Rain
130755,Cloudy
130756,Clear
130757,Cloudy
130758,Clear
130759,Clear
130760,Clear
130761,Clear
130762,Clear
130763,Clear
130764,Cloudy
130765,Clear
130766,Clear
130767,Cloudy
130768,Rain
130769,Clear
130770,Clear
130771,Clear
130772,Clear
130773,Cloudy
130774,Clear
130775,Clear
130776,Clear
130777,Clear
130778,Other
130779,Clear
130780,Cloudy
130781,Rain
130783,Clear
130784,Clear
130785,Clear
130786,Clear
130787,Clear
130788,Cloudy
130790,Clear
130791,Clear
130792,Rain
130793,Rain
130794,Clear
130795,Clear
130796,Rain
130797,Clear
130798,Clear
130799,Clear
130801,Clear
130802,Cloudy
130803,Clear
130804,Cloudy
130805,Clear
130806,Rain
130807,Cloudy
130808,Clear
130809,Cloudy
130810,Rain
130811,Cloudy
130812,Clear
130813,Clear
130814,Clear
130815,Clear
130816,Clear
130817,Clear
130818,Clear
130819,Rain
130820,Clear
130821,Clear
130822,Clear
130823,Clear
130824,Clear
130825,Cloudy
130826,Clear
130827,Clear
130828,Clear
130829,Cloudy
130830,Clear
130831,Clear
130832,Cloudy
130833,Clear
130834,Cloudy
130835,Cloudy
130836,Cloudy
130837,Clear
130838,Clear
130839,Clear
130840,Clear
130841,Rain
130842,Clear
130843,Cloudy
130844,Cloudy
130845,Clear
130846,Clear
130847,Clear
130848,Clear
130849,Clear
130850,Cloudy
130851,Clear
130852,Clear
130853,Clear
130854,Clear
130855,Clear
130856,Clear
130857,Clear
130858,Clear
130859,Clear
130860,Clear
130861,Clear
130862,Clear
130864,Clear
130865,Clear
130866,Cloudy
130867,Clear
130868,Clear
130869,Cloudy
130870,Cloudy
130871,Clear
130872,Cloudy
130873,Clear
130874,Clear
130875,Cloudy
130876,Clear
130877,Clear
130878,Clear
130879,Clear
130880,Cloudy
130881,Cloudy
130882,Clear
130883,Clear
130884,Clear
130885,Clear
130886,Clear
130887,Clear
130888,Clear
130889,Clear
130890,Clear
130891,Rain
130892,Cloudy
130893,Cloudy
130894,Clear
130895,Rain
130896,Clear
130897,Clear
130898,Clear
130899,Rain
130900,Rain
130901,Cloudy
130902,Clear
130904,Cloudy
130905,Cloudy
130906,Rain
130907,Rain
130909,Clear
130910,Clear
130911,Clear
130912,Cloudy
130913,Cloudy
130914,Clear
130915,Cloudy
130916,Cloudy
130917,Clear
130918,Clear
130919,Clear
130920,Clear
130921,Clear
130922,Clear
130923,Cloudy
130924,Cloudy
130925,Clear
130926,Clear
130927,Cloudy
130928,Clear
130929,Rain
130930,Rain
130931,Clear
130932,Clear
130933,Clear
130934,Clear
130935,"Fog, Smog, Smoke"
130936,Clear
130937,Cloudy
130938,Clear
130940,Clear
130941,Clear
130943,Clear
130944,Cloudy
130945,Cloudy
130946,Clear
130947,Cloudy
130948,Clear
130949,Clear
130950,Clear
130951,Cloudy
130952,Cloudy
130953,Clear
130954,Clear
130955,Clear
130956,Clear
130958,Clear
130959,Clear
130960,Clear
130961,Clear
130962,Clear
130963,Cloudy
130964,Clear
130965,Clear
130966,Clear
130967,Clear
130968,Clear
130969,Clear
130970,Clear
130971,Clear
130972,Clear
130973,Cloudy
130974,Clear
130975,Clear
130976,Cloudy
130977,Clear
130978,Cloudy
130979,Clear
130980,Clear
130981,Clear
130982,Clear
130983,Clear
130984,Clear
130985,Clear
130986,Clear
130987,Cloudy
130988,Clear
130989,Clear
130990,Clear
130991,Clear
130992,Rain
130993,Clear
130994,Cloudy
130995,Cloudy
130996,Clear
130997,Clear
130998,Cloudy
130999,Clear
131000,Clear
131001,Cloudy
131003,Clear
131004,Clear
131005,Cloudy
131006,Clear
131007,Rain
131008,Cloudy
131009,Rain
131010,Rain
131011,Rain
131012,Rain
131013,Cloudy
131014,Rain
131015,Cloudy
131016,Cloudy
131017,Clear
131018,Clear
131020,Clear
131021,Clear
131022,Clear
131023,Cloudy
131024,Clear
131025,Clear
131026,Clear
131027,Cloudy
131028,Clear
131029,Clear
131030,Clear
131031,Clear
131032,Clear
131033,"Fog, Smog, Smoke"
131034,Clear
131035,Clear
131036,Clear
131037,Rain
131038,Cloudy
131040,Cloudy
131041,Cloudy
131042,Cloudy
131043,Clear
131044,Clear
131045,Clear
131046,Clear
131047,Clear
131048,Clear
131049,Cloudy
131050,Clear
131051,Cloudy
131052,Clear
131053,Clear
131054,Cloudy
131055,Cloudy
131056,Clear
131057,Clear
131058,Rain
131060,Clear
131061,Clear
131062,Clear
131063,Clear
131064,Clear
131065,Clear
131066,Clear
131067,Clear
131069,Clear
131070,Clear
131071,Clear
131072,Clear
131073,Clear
131074,Clear
131076,Clear
131077,Clear
131078,Clear
131079,Clear
131080,Clear
131081,Clear
131083,Clear
131084,Clear
131085,Clear
131086,Clear
131087,Clear
131088,Clear
131089,Clear
131090,Clear
131091,Clear
131092,Clear
131093,Clear
131094,Clear
131095,"Fog, Smog, Smoke"
131096,Clear
131097,"Fog, Smog, Smoke"
131098,Clear
131099,Clear
131100,Clear
131101,Cloudy
131102,Clear
131103,Cloudy
131104,Clear
131105,Clear
131106,Clear
131107,Clear
131108,Cloudy
131109,Clear
131110,Clear
131111,Clear
131113,Clear
131114,Cloudy
131115,Clear
131116,Clear
131117,Clear
131118,Clear
131119,Clear
131120,Clear
131121,Clear
131122,Clear
131123,Clear
131124,Cloudy
131125,Clear
131126,Clear
131127,Clear
131128,Clear
131129,Cloudy
131130,Clear
131131,Cloudy
131132,Clear
131133,Clear
131134,Clear
131135,"Fog, Smog, Smoke"
131136,Clear
131137,Clear
131138,Clear
131139,Clear
131140,Clear
131141,Clear
131142,Rain
131143,Clear
131144,Rain
131145,Cloudy
131146,Clear
131147,Rain
131149,Clear
131150,Clear
131151,Cloudy
131152,Clear
131153,Clear
131154,Cloudy
131156,"Fog, Smog, Smoke"
131157,Clear
131158,Cloudy
131159,Clear
131160,Rain
131161,Cloudy
131162,Clear
131163,Clear
131164,Clear
131165,Clear
131166,Clear
131167,Clear
131168,Clear
131169,Clear
131170,Clear
131171,Rain
131172,Clear
131173,Clear
131174,Cloudy
131175,Clear
131176,Cloudy
131177,Clear
131178,Cloudy
131179,Clear
131180,Cloudy
131182,Clear
131183,Clear
131185,Cloudy
131186,Clear
131187,Clear
131188,Cloudy
131189,Clear
131191,Rain
131192,Clear
131193,Cloudy
131194,Rain
131196,Clear
131197,Cloudy
131198,Clear
131199,Clear
131202,Clear
131205,Clear
131206,Clear
131208,Clear
131209,Clear
131210,Cloudy
131211,Clear
131212,Clear
131213,Cloudy
131214,Clear
131215,Cloudy
131216,Cloudy
131217,Cloudy
131218,Cloudy
131219,Cloudy
131220,Rain
131221,Clear
131223,Clear
131225,Clear
131226,Cloudy
131227,Clear
131228,Clear
131229,Clear
131230,Clear
131231,Clear
131232,Clear
131234,Clear
131235,Clear
131236,Clear
131237,Clear
131238,Clear
131239,Rain
131240,Rain
131241,Cloudy
131242,Cloudy
131243,Clear
131244,Clear
131245,Clear
131246,Rain
131247,Clear
131248,Clear
131249,Clear
131250,Cloudy
131251,Clear
131252,Clear
131253,Clear
131254,Clear
131255,Clear
131256,Clear
131258,Rain
131259,Cloudy
131260,Clear
131261,Rain
131262,Rain
131263,Clear
131264,Clear
131265,Cloudy
131266,Cloudy
131267,Clear
131268,Cloudy
131269,Clear
131270,Clear
131272,Clear
131273,Clear
131274,Cloudy
131275,Clear
131276,Clear
131277,Not Reported
131278,Clear
131280,Rain
131281,Clear
131282,Clear
131283,Rain
131284,Rain
131285,Clear
131286,Clear
131287,Clear
131288,Clear
131289,Cloudy
131290,Rain
131291,Clear
131292,Clear
131293,Clear
131294,Rain
131295,Cloudy
131296,Clear
131297,Rain
131298,Rain
131299,Clear
131300,Clear
131301,Clear
131302,Clear
131303,Clear
131304,Clear
131305,Clear
131306,Clear
131307,Clear
131308,Cloudy
131309,Clear
131310,Clear
131312,Clear
131313,Clear
131314,Clear
131315,Clear
131316,Clear
131317,Clear
131318,Clear
131319,Rain
131320,Clear
131321,Clear
131322,Cloudy
131323,Clear
131324,Clear
131325,Clear
131326,Clear
131328,Clear
131329,Cloudy
131330,Clear
131331,Cloudy
131332,Clear
131333,Clear
131334,Clear
131335,Clear
131336,Clear
131337,Clear
131338,Cloudy
131339,Clear
131340,Clear
131341,Rain
131342,Clear
131343,Clear
131344,Cloudy
131345,Clear
131347,Clear
131348,Clear
131351,Clear
131352,Clear
131353,Clear
131354,Cloudy
131355,Clear
131356,Clear
131357,Clear
131359,Clear
131360,Clear
131361,Clear
131362,Clear
131363,Clear
131364,Clear
131365,Rain
131365,Cloudy
131366,Rain
131367,Rain
131368,Rain
131369,Clear
131370,Clear
131372,Clear
131373,Rain
131373,Cloudy
131374,Cloudy
131375,Rain
131377,Clear
131378,Cloudy
131379,Clear
131380,Cloudy
131381,Clear
131382,Rain
131383,Clear
131384,Clear
131385,Clear
131386,Clear
131387,Clear
131388,Clear
131389,Clear
131390,Clear
131391,Clear
131392,Clear
131393,Clear
131394,Clear
131395,Clear
131396,Clear
131397,Clear
131398,Clear
131399,Clear
131400,Clear
131401,Clear
131402,Clear
131404,Clear
131405,Clear
131406,Clear
131407,Clear
131408,Cloudy
131409,Clear
131410,Clear
131411,Clear
131412,Clear
131413,Clear
131414,Clear
131415,Clear
131416,Clear
131417,Clear
131418,Clear
131419,Clear
131420,Clear
131421,Clear
131422,Clear
131423,Clear
131424,Clear
131425,Clear
131426,Clear
131427,Clear
131428,Clear
131429,Clear
131430,Clear
131431,Clear
131432,Cloudy
131433,Clear
131434,Cloudy
131435,Clear
131436,Rain
131437,Cloudy
131440,Cloudy
131440,Freezing Rain or Drizzle
131441,Clear
131442,Cloudy
131443,Clear
131444,Clear
131445,Clear
131446,Clear
131447,Cloudy
131448,Clear
131449,Clear
131450,Clear
131451,Cloudy
131452,Clear
131453,Clear
131454,Clear
131455,Clear
131457,Clear
131458,Clear
131459,Clear
131460,Clear
131461,"Fog, Smog, Smoke"
131462,Clear
131463,Clear
131464,Rain
131465,Clear
131466,Clear
131467,Clear
131468,Clear
131469,Clear
131470,Clear
131471,Clear
131472,Clear
131473,Clear
131474,Clear
131475,Clear
131476,Clear
131477,Clear
131478,Clear
131479,Rain
131480,Rain
131481,Cloudy
131482,Clear
131483,Clear
131484,"Fog, Smog, Smoke"
131485,Clear
131486,Cloudy
131487,Clear
131488,Clear
131489,Cloudy
131490,Not Reported
131491,Clear
131492,Cloudy
131493,Clear
131494,Clear
131495,Rain
131497,Clear
131498,Rain
131499,Clear
131500,Rain
131501,Clear
131502,Clear
131503,Clear
131504,Clear
131505,Clear
131506,Clear
131507,Clear
131508,Rain
131508,Cloudy
131509,Clear
131510,Clear
131511,Clear
131512,Clear
131513,Clear
131514,Clear
131515,Clear
131516,Clear
131517,Clear
131518,Clear
131519,Clear
131520,Clear
131521,Cloudy
131522,Rain
131523,Cloudy
131524,Clear
131525,Clear
131526,Clear
131527,Rain
131528,Rain
131529,Clear
131530,Clear
131531,Clear
131532,Clear
131533,Clear
131534,Clear
131535,Clear
131536,Cloudy
131537,Clear
131538,"Fog, Smog, Smoke"
131539,Clear
131540,Clear
131541,Clear
131542,Clear
131543,Clear
131544,Cloudy
131545,Clear
131546,Clear
131547,Clear
131548,Clear
131549,Clear
131550,Clear
131551,Clear
131552,Clear
131553,Clear
131555,Clear
131556,Clear
131557,Rain
131558,Clear
131559,Clear
131560,Cloudy
131561,Cloudy
131562,Clear
131563,"Fog, Smog, Smoke"
131564,Clear
131565,Clear
131566,Clear
131567,Clear
131568,Clear
131569,Clear
131570,Clear
131571,Clear
131572,Clear
131573,Clear
131574,Rain
131576,Clear
131577,Clear
131579,Cloudy
131580,Cloudy
131581,Clear
131582,Rain
131583,Clear
131584,Snow
131585,Clear
131586,Clear
131587,Clear
131588,Clear
150001,Cloudy
150002,Clear
150003,Cloudy
150004,Rain
150005,Rain
150006,Rain
150007,Rain
150008,Clear
150009,Clear
150010,Clear
150011,Clear
150012,Clear
150013,Cloudy
150014,Clear
150015,Clear
150016,Clear
150017,Clear
150018,Clear
150019,Clear
150020,Clear
150021,Clear
150022,Clear
150023,Rain
150023,Cloudy
150024,Clear
150025,Not Reported
150026,Rain
150027,Clear
150028,Clear
150029,Cloudy
150030,Not Reported
150032,Clear
150033,Clear
150034,Cloudy
150035,Cloudy
150036,Clear
150037,Clear
150038,Cloudy
150039,Clear
150040,Clear
150041,Cloudy
150042,Rain
150043,Clear
150044,Rain
150044,Cloudy
150045,Cloudy
150046,Cloudy
150047,Clear
150048,Clear
150050,Rain
150050,Cloudy
150051,Rain
150052,Clear
150053,Clear
150054,Clear
150055,Clear
150056,Clear
150057,Cloudy
150058,Clear
150059,Rain
150060,Clear
150061,Reported as Unknown
150062,Clear
150063,Clear
150064,Cloudy
150065,Clear
150066,Clear
150067,Clear
150068,Clear
150069,Clear
150070,Clear
150071,Rain
150071,Cloudy
150072,Clear
150073,Clear
150074,Cloudy
