ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10049,14,14,14,14,14,14,14,14,14,14
10050,0,0,0,0,0,0,0,0,0,0
10051,18,18,18,18,18,18,18,18,18,18
10052,14,18,19,24,14,5,24,14,29,21
10053,0,22,0,0,0,0,0,29,0,27
10054,0,0,0,0,0,0,0,0,0,0
10055,12,0,4,5,26,0,19,11,9,0
10056,0,0,0,10,16,31,30,0,0,19
10057,0,0,0,0,0,0,0,0,0,0
10058,11,11,11,11,11,11,11,11,11,11
10059,18,19,0,0,0,0,0,0,24,0
10060,0,27,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,0,0,0
10062,26,26,26,26,26,26,26,26,26,26
10063,0,0,0,0,0,0,0,0,0,0
10064,23,23,23,23,23,23,23,23,23,23
10065,0,0,0,0,0,0,0,0,0,0
10066,26,26,26,26,26,26,26,26,26,26
10067,0,16,0,9,38,31,0,29,0,29
10068,0,0,13,0,0,0,0,0,0,0
10069,0,0,0,0,0,0,0,0,0,0
10070,30,30,30,30,30,30,30,30,30,30
10071,19,0,37,0,0,0,0,0,0,0
10072,0,0,0,0,0,0,0,0,0,0
10073,10,10,10,10,10,10,10,10,10,10
10074,0,0,0,0,0,0,0,0,0,0
10075,9,9,9,9,9,9,9,9,9,9
10076,22,5,17,17,23,15,15,8,24,0
10077,9,9,9,9,9,9,9,9,9,9
10078,24,24,24,24,24,24,24,24,24,24
10079,28,28,28,28,28,28,28,28,28,28
10080,24,24,24,24,24,24,24,24,24,24
10081,0,0,0,0,0,0,0,0,0,0
10082,8,8,8,8,8,8,11,8,8,8
10083,0,0,0,0,0,0,0,0,16,0
10084,0,0,0,0,0,0,0,0,0,0
10085,24,18,0,0,16,16,2,0,13,15
10086,33,33,33,33,33,33,33,33,33,33
10087,5,31,23,0,0,0,20,0,28,0
10088,0,0,0,8,0,0,0,0,0,0
10089,0,0,0,0,0,0,0,0,0,0
10090,0,0,2,0,0,0,0,0,0,0
10091,0,0,0,0,0,0,0,0,0,0
10092,0,0,0,0,29,0,0,0,0,0
10093,0,0,18,0,0,0,0,0,0,0
10094,0,0,0,0,0,0,0,0,0,0
10095,20,20,20,20,20,20,20,20,20,20
10096,27,27,27,27,27,27,27,27,27,27
10097,0,0,0,0,0,0,0,0,0,0
10098,0,0,0,0,0,0,0,0,0,0
10099,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,0
10101,10,9,0,20,22,12,0,0,23,0
10102,0,0,0,0,0,0,0,0,0,20
10103,0,0,0,0,8,0,0,0,0,15
10104,28,28,28,28,28,28,28,28,28,28
10105,0,0,0,0,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0,0,0
10107,0,0,0,0,0,0,0,0,46,0
10108,0,21,0,0,5,0,0,0,0,0
10109,22,22,22,22,22,22,22,22,22,22
10110,19,16,28,29,23,24,15,38,22,24
10111,0,0,0,0,0,0,0,0,0,0
10112,24,24,24,24,24,24,24,24,24,24
10113,6,6,6,6,6,10,6,6,6,15
10114,9,0,0,0,36,0,0,0,0,0
10115,0,28,0,9,0,0,0,0,0,7
10116,0,0,0,0,0,12,0,0,0,0
10117,18,18,18,18,18,18,18,18,18,18
10118,0,0,0,0,0,0,0,0,0,0
10119,5,0,21,18,25,0,12,0,0,0
10120,0,0,0,0,0,0,0,0,12,0
10121,7,12,26,19,29,7,28,23,13,17
10122,9,14,0,0,10,6,0,0,0,18
10123,4,18,15,0,10,17,0,0,0,0
10124,4,4,4,4,4,4,4,4,4,4
10125,0,0,0,0,0,0,0,0,0,0
10126,2,2,2,2,2,2,2,2,2,2
10127,0,0,0,0,0,0,0,0,0,0
10128,23,23,23,23,23,23,23,23,23,23
