ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10140,12,12,12,12,12,12,12,12,12,12
10141,0,0,0,0,0,0,0,0,0,0
10142,0,0,0,0,0,0,0,0,0,0
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,0,0,43,0,0,0
10148,26,26,26,26,26,26,26,26,26,26
10149,0,0,0,0,0,0,0,0,0,0
10150,0,12,0,0,0,0,0,0,0,10
10151,17,17,17,17,17,17,17,17,17,17
10152,0,0,0,0,0,0,0,0,12,0
10153,13,25,14,0,15,20,0,37,18,20
10154,0,0,13,0,0,0,0,0,0,0
10155,21,21,21,21,21,21,21,21,21,21
10156,11,27,11,11,23,11,11,21,11,11
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,6,0,0
10161,0,17,15,21,10,3,19,2,0,4
10162,0,0,0,0,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,0,0,0
10164,0,0,0,0,0,0,0,0,0,5
10165,0,0,0,0,0,0,0,0,0,33
10166,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0
10168,9,9,9,9,9,9,9,9,9,9
10169,5,8,0,11,22,16,0,22,14,29
10170,12,11,36,33,16,21,0,10,25,22
10171,19,19,19,19,19,19,19,19,19,19
10172,0,0,0,0,0,0,0,0,0,0
10173,22,14,19,12,23,17,11,10,33,5
10174,0,0,0,0,0,0,0,0,0,22
10175,11,11,11,11,11,11,11,11,11,11
10176,13,13,13,13,13,13,13,13,13,13
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,7,0,0,0,0
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,36,0,0,0,0,0,0,0,16,0
10182,0,0,0,0,0,0,0,0,0,0
10183,18,18,18,18,18,18,18,18,18,18
10184,0,0,0,0,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,0,0
10186,0,7,12,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,11,11,11,11,11,11,11,11,11,11
10189,5,5,5,5,5,5,5,5,5,5
10190,0,20,11,14,0,0,0,0,9,7
10191,0,0,0,0,0,19,0,0,0,0
10192,0,0,0,0,0,0,0,0,0,0
10193,18,18,18,18,18,18,18,18,18,18
10194,22,37,0,15,22,0,0,0,0,9
10195,11,9,24,9,9,11,17,9,9,13
10196,0,0,0,0,13,0,21,35,29,0
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,15,0,0,0,0,0,0,0,0,0
10201,0,0,0,0,0,0,0,0,0,0
10202,0,28,18,25,0,11,11,12,22,15
10203,0,0,0,13,0,0,0,0,9,0
10204,21,21,21,21,21,21,21,21,21,21
10205,0,0,0,0,0,0,22,0,0,7
10206,0,0,0,0,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,6,0
10208,0,0,10,0,19,0,0,0,16,17
10209,0,0,0,10,0,0,0,0,0,0
10210,0,16,0,10,0,0,7,0,44,28
10211,0,0,0,0,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,0,0,0,0,0,0,0,0,18,23
10214,0,0,0,0,0,0,0,0,0,0
10215,0,0,0,0,0,0,0,0,0,0
10216,0,0,0,0,0,0,0,0,0,0
10217,0,0,0,0,0,0,0,6,0,17
10218,28,0,7,6,21,0,3,0,0,0
10219,12,12,12,12,12,12,12,12,12,12
10220,17,8,15,18,12,34,6,16,13,54
10221,0,0,0,8,5,0,0,0,0,0
10222,14,2,2,2,2,2,2,18,2,2
10223,0,0,4,0,24,0,0,0,0,0
10224,0,0,0,0,0,0,0,0,0,0
10225,13,8,23,21,11,13,25,8,29,23
10226,0,0,0,0,0,0,0,0,0,0
10227,0,0,0,0,0,0,0,0,0,0
10228,26,26,26,26,26,26,26,26,26,26
10229,0,0,0,0,0,0,0,0,0,0
10230,0,0,0,0,0,0,0,0,0,0
10231,0,0,0,0,0,16,0,0,3,0
10232,3,3,3,3,3,3,3,3,3,3
10233,0,0,0,0,0,0,0,0,0,0
10234,0,8,0,0,0,0,21,0,0,0
10235,24,24,24,24,24,24,24,24,24,24
10236,0,0,0,0,10,0,0,0,0,0
10237,0,0,0,0,0,0,0,0,0,0
10238,29,29,29,29,29,29,29,29,29,29
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,0,0,0,0,0,0,0,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10244,13,0,16,0,0,6,3,15,0,9
10245,0,0,0,0,0,0,0,0,0,0
10246,40,40,40,40,40,40,40,40,40,40
10247,0,0,0,0,0,0,0,0,0,0
10248,0,0,0,0,0,0,0,0,0,0
10249,0,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,21,0,0,0,0,0
10252,24,24,24,24,24,24,24,24,24,24
10253,0,0,0,0,0,0,0,0,0,0
10254,12,12,12,12,12,12,12,12,12,12
10255,0,0,16,0,0,0,0,0,0,0
10256,15,0,17,0,0,0,3,0,0,0
10257,0,0,0,0,0,0,0,0,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,7,0,0,0,24
10262,0,0,0,0,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0,0
10264,0,0,0,0,0,0,0,0,0,24
10265,0,0,0,0,0,0,0,0,15,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,0,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,0,0,0,0,0,0,0,0,0,0
10270,0,18,9,0,19,0,12,0,0,7
10271,0,0,0,0,0,0,0,0,0,0
10272,14,14,14,14,14,14,14,14,14,14
10274,13,13,13,13,15,13,13,13,13,13
10275,0,0,12,16,18,0,0,11,0,0
10276,0,0,17,8,0,23,0,0,0,12
10277,0,11,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,32,20,0,0,0,0,0
10280,27,27,27,27,27,27,27,27,27,27
10281,16,10,0,0,0,3,0,20,0,0
10282,0,0,0,0,17,0,0,0,0,0
10283,0,0,0,0,0,5,0,0,0,0
10284,0,0,0,0,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,0,10
10286,5,5,5,5,5,5,5,5,12,5
10287,9,9,9,9,9,9,9,9,9,9
10288,0,10,9,0,0,0,0,0,22,0
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,18,0,0,13,15,0,0,15
10291,10,10,10,10,10,10,10,10,10,10
10292,0,0,0,0,0,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,16,0,0,0,0,0,8,0,0,28
10295,27,0,0,0,0,5,0,34,0,0
10296,22,22,22,22,22,22,22,22,22,22
10297,0,0,0,0,17,0,11,0,0,13
10298,0,0,0,0,0,0,0,0,0,0
10299,16,16,16,16,16,16,16,16,16,16
10300,0,0,11,0,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,0,0
10302,8,8,8,8,8,8,8,8,8,8
10303,17,0,0,17,0,0,0,0,0,25
10304,4,4,4,4,4,4,4,4,4,4
10305,18,0,0,0,0,0,10,0,0,0
10306,0,0,0,0,0,0,0,0,0,0
10307,0,0,0,16,23,25,0,0,0,0
10308,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,15,0,0,0,0
10310,0,11,0,23,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0
10313,23,32,0,0,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,0,0
10316,0,0,4,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,0,0
10318,17,0,9,0,0,6,0,17,13,21
10319,0,5,4,0,0,0,0,0,14,0
10320,27,27,27,27,27,27,27,27,27,27
10321,8,8,8,8,8,8,8,8,8,8
10322,0,19,13,0,0,0,0,0,0,18
10323,36,36,36,36,36,36,36,36,36,36
10324,17,35,18,18,4,18,31,17,21,11
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,0,23,0,0,0,0,0,0,0,0
10328,0,0,0,8,0,0,0,17,0,0
10329,0,0,0,0,0,0,0,0,0,0
10330,0,0,0,0,0,0,0,0,0,0
10331,0,0,0,11,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,7,0
10333,0,0,0,0,0,0,0,0,0,0
10334,0,0,0,0,0,0,0,0,0,0
10335,0,0,0,0,0,0,0,0,0,0
10336,0,0,0,0,0,0,0,0,0,18
10337,0,0,20,0,0,20,0,12,0,18
10338,0,0,0,0,0,0,0,0,0,0
10339,0,0,0,0,0,0,0,0,0,0
10340,8,8,8,8,8,8,8,8,8,8
10341,0,0,0,11,7,11,0,0,10,0
10342,0,0,0,0,0,0,0,0,0,0
10343,6,6,6,6,6,6,6,6,6,6
10344,0,19,0,0,0,9,0,0,23,21
10345,15,0,0,0,0,13,0,0,30,24
10346,0,0,0,0,0,0,0,0,0,0
10348,8,14,9,26,48,11,13,8,17,21
10349,6,0,0,9,0,0,0,0,0,0
10350,0,0,17,25,0,21,10,23,0,10
10351,8,15,0,16,0,33,9,12,5,20
10352,10,26,15,0,0,18,18,0,23,3
10353,0,0,0,0,0,0,21,19,0,0
10354,0,0,0,7,0,0,0,14,0,0
10355,10,36,10,11,26,22,16,7,7,5
10356,11,11,11,11,11,11,11,11,11,11
10357,0,0,0,0,0,0,0,0,0,0
10358,0,0,0,0,0,0,0,0,0,0
10359,5,0,13,23,26,28,22,7,14,0
10360,0,0,0,0,0,0,0,0,0,0
10361,11,0,0,0,8,0,23,0,0,15
10362,16,26,6,9,14,14,25,10,37,11
10363,0,0,0,0,0,0,0,26,0,0
10364,23,23,23,23,23,23,23,23,23,23
10365,0,0,0,0,0,0,0,0,0,0
10366,15,36,15,31,0,16,0,11,0,0
10367,0,0,7,0,0,0,7,0,18,0
10368,0,0,0,0,0,0,0,0,0,0
10369,0,0,0,0,0,0,0,0,0,0
10370,0,0,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,0,0,0
10372,0,0,0,0,0,0,0,0,0,0
10373,21,21,21,21,21,21,21,21,21,21
10374,0,0,0,42,0,0,0,0,8,0
10375,5,5,5,5,5,5,5,5,5,5
10376,17,19,17,17,17,26,17,17,33,26
10377,0,0,0,9,0,0,16,9,0,2
10378,26,0,0,0,0,0,4,0,0,0
10379,9,15,0,14,0,12,11,25,22,6
10380,0,0,0,0,0,0,0,0,0,0
10381,2,2,2,2,2,2,2,2,2,2
10382,0,0,0,0,0,0,0,0,0,0
10383,0,0,0,0,0,19,0,0,0,0
10384,0,0,0,0,0,0,0,0,0,0
10385,21,21,21,21,21,21,21,21,21,21
10386,8,10,0,20,11,17,0,0,0,16
10387,0,0,12,20,0,0,0,0,13,14
10388,0,0,0,0,0,0,0,0,0,0
10389,0,0,0,0,0,0,0,0,0,0
10390,0,0,0,0,0,0,0,0,0,0
10391,12,12,12,12,12,12,12,12,12,12
10392,11,11,15,11,11,11,17,11,11,11
10393,0,0,0,0,0,0,0,0,0,0
10394,0,0,0,0,0,0,0,0,0,0
10395,19,19,19,19,19,19,19,19,19,19
10396,0,0,0,6,0,0,0,0,0,0
10397,0,38,0,0,0,0,0,0,0,19
10398,0,0,0,0,0,0,0,0,0,0
10399,3,3,3,3,3,3,3,3,3,3
10400,0,0,0,0,0,0,0,13,0,16
10401,0,0,0,0,0,0,0,0,0,0
10402,0,0,0,0,16,0,0,0,0,0
10403,0,0,0,0,0,0,16,0,0,0
10404,0,11,0,0,0,6,12,21,15,0
