ST_CASE,WEATHERNAME,YEAR
10306,Clear,2019
10307,Clear,2019
10308,Clear,2019
10309,Clear,2019
10310,Clear,2019
10311,Clear,2019
10312,Clear,2019
10313,Clear,2019
10314,Clear,2019
10315,Clear,2019
10316,Clear,2019
10317,Cloudy,2019
10318,Clear,2019
10319,Clear,2019
10320,Clear,2019
10321,Clear,2019
10322,Clear,2019
10323,Clear,2019
10324,Clear,2019
10325,Clear,2019
10326,Rain,2019
10327,Rain,2019
10328,Cloudy,2019
10329,Clear,2019
10330,Reported as Unknown,2019
10331,Cloudy,2019
10332,Rain,2019
10333,Cloudy,2019
10334,Cloudy,2019
10335,Rain,2019
10336,Rain,2019
10337,Clear,2019
10338,Clear,2019
10339,Clear,2019
10340,Clear,2019
10341,Clear,2019
10342,Clear,2019
10343,Rain,2019
10344,Clear,2019
10345,Clear,2019
10346,Clear,2019
10347,Clear,2019
10348,Rain,2019
10349,Clear,2019
10350,Clear,2019
10351,Cloudy,2019
10352,Cloudy,2019
10353,Cloudy,2019
10354,Clear,2019
10355,Cloudy,2019
10356,Clear,2019
10357,Clear,2019
10358,Clear,2019
10359,Rain,2019
10360,Cloudy,2019
10361,Clear,2019
10362,Clear,2019
10363,Clear,2019
10364,Clear,2019
10365,Rain,2019
10366,Clear,2019
10367,Clear,2019
10368,Clear,2019
10369,Rain,2019
10370,Clear,2019
10371,Cloudy,2019
10372,Clear,2019
10373,Clear,2019
10374,Clear,2019
10375,Cloudy,2019
10376,Clear,2019
10377,Clear,2019
10378,Clear,2019
10379,Clear,2019
10380,Cloudy,2019
10381,Cloudy,2019
10382,Cloudy,2019
10383,Clear,2019
10384,Cloudy,2019
10385,Clear,2019
10386,Clear,2019
10387,Clear,2019
10388,Cloudy,2019
10389,Clear,2019
10390,Clear,2019
10391,Cloudy,2019
10392,Clear,2019
10393,Clear,2019
10394,Cloudy,2019
10395,Clear,2019
10396,Clear,2019
10397,Clear,2019
10398,Clear,2019
10399,Clear,2019
10400,Cloudy,2019
10401,Clear,2019
10402,Clear,2019
10403,Clear,2019
10404,Clear,2019
10405,Clear,2019
10406,Clear,2019
10407,Clear,2019
10408,Clear,2019
10409,Rain,2019
10410,Clear,2019
10411,Clear,2019
10412,Clear,2019
10413,Clear,2019
10414,Cloudy,2019
10415,Clear,2019
10416,Cloudy,2019
10417,Cloudy,2019
10418,Clear,2019
10419,Cloudy,2019
10420,Clear,2019
10421,Clear,2019
10422,Cloudy,2019
10423,Clear,2019
10424,Cloudy,2019
10425,Rain,2019
10426,Cloudy,2019
10427,Clear,2019
10428,Clear,2019
10429,Clear,2019
10430,Rain,2019
10431,Clear,2019
10432,Clear,2019
10433,Clear,2019
10434,Clear,2019
10435,Clear,2019
10436,Clear,2019
10437,Clear,2019
10438,Clear,2019
10439,Clear,2019
10440,Clear,2019
10441,Clear,2019
10442,"Fog, Smog, Smoke",2019
10443,Clear,2019
10444,Cloudy,2019
10445,Clear,2019
10446,Clear,2019
10447,Cloudy,2019
10448,Clear,2019
10449,Cloudy,2019
10450,Clear,2019
10451,Cloudy,2019
10452,Clear,2019
10453,Clear,2019
10454,Rain,2019
10455,Cloudy,2019
10456,Cloudy,2019
10457,Clear,2019
10458,Clear,2019
10459,Clear,2019
10460,Clear,2019
10461,Clear,2019
10462,Clear,2019
10463,Cloudy,2019
10464,Clear,2019
10465,Clear,2019
10466,Clear,2019
10467,Clear,2019
10468,Clear,2019
10469,Clear,2019
10470,Rain,2019
10471,Clear,2019
10472,Cloudy,2019
10473,Clear,2019
10474,Rain,2019
10475,Cloudy,2019
10476,Clear,2019
10477,Clear,2019
10478,Cloudy,2019
10479,Clear,2019
10480,Clear,2019
10481,Cloudy,2019
10482,Clear,2019
10483,Clear,2019
10484,Clear,2019
10485,Clear,2019
10486,Clear,2019
10487,Clear,2019
10488,Clear,2019
10489,Clear,2019
10490,Clear,2019
10491,Clear,2019
10492,Rain,2019
10493,Clear,2019
10494,Cloudy,2019
10495,Clear,2019
10496,Clear,2019
10497,Clear,2019
10498,Clear,2019
10499,Clear,2019
10500,Clear,2019
10501,Cloudy,2019
10502,Rain,2019
10503,Clear,2019
10504,Clear,2019
10505,Clear,2019
10506,Clear,2019
10507,Clear,2019
10508,Clear,2019
10509,Cloudy,2019
10511,Clear,2019
10512,Cloudy,2019
10513,Rain,2019
10514,Rain,2019
10515,Cloudy,2019
10516,Clear,2019
10518,Clear,2019
10519,Clear,2019
10520,Cloudy,2019
10521,Clear,2019
10522,Clear,2019
10523,Cloudy,2019
10524,Clear,2019
10525,Clear,2019
10526,Clear,2019
10527,Clear,2019
10528,Clear,2019
10529,Clear,2019
10530,Clear,2019
10531,Clear,2019
10532,Clear,2019
10533,Clear,2019
10534,Clear,2019
10535,Clear,2019
10536,Clear,2019
10537,Clear,2019
10538,Clear,2019
10539,Rain,2019
10540,Clear,2019
10541,Clear,2019
10542,Clear,2019
10543,Clear,2019
10544,Clear,2019
10545,Clear,2019
10546,Clear,2019
10547,Rain,2019
10548,Clear,2019
10549,Clear,2019
10550,Clear,2019
10551,Clear,2019
10552,Clear,2019
10553,Clear,2019
10554,Clear,2019
10555,Clear,2019
10556,Clear,2019
10557,Clear,2019
10558,Clear,2019
10559,Clear,2019
10560,Clear,2019
10561,Clear,2019
10562,Clear,2019
10563,Clear,2019
10564,Clear,2019
10565,Clear,2019
10566,Clear,2019
10567,Clear,2019
10569,Clear,2019
10570,Clear,2019
10571,Clear,2019
10572,Clear,2019
10573,Clear,2019
10574,Clear,2019
10575,Cloudy,2019
10576,Clear,2019
10577,Clear,2019
10578,Clear,2019
10579,Clear,2019
10580,Clear,2019
10581,Clear,2019
10582,Clear,2019
10583,Clear,2019
10584,Clear,2019
10585,Clear,2019
10586,Clear,2019
10587,Clear,2019
10588,Clear,2019
10589,Clear,2019
10590,Clear,2019
10591,Clear,2019
10592,Clear,2019
10593,Clear,2019
10594,Clear,2019
10595,Clear,2019
10596,Clear,2019
10597,Cloudy,2019
10598,Clear,2019
10599,Clear,2019
10600,Clear,2019
10601,Clear,2019
10602,Clear,2019
10603,Clear,2019
10604,Clear,2019
10605,Clear,2019
10606,Clear,2019
10607,Clear,2019
10608,Clear,2019
10609,Clear,2019
10610,Clear,2019
10611,Rain,2019
10612,Clear,2019
10613,Clear,2019
10614,Clear,2019
10615,Clear,2019
10616,Clear,2019
10617,Clear,2019
10618,Clear,2019
10619,Clear,2019
10620,Clear,2019
10622,Rain,2019
10623,Clear,2019
10624,Clear,2019
10625,Clear,2019
10626,Clear,2019
10627,Cloudy,2019
10628,Clear,2019
10629,Clear,2019
10630,Clear,2019
10631,Clear,2019
10632,Clear,2019
10633,Clear,2019
10634,Clear,2019
10635,Clear,2019
10636,Clear,2019
10637,Clear,2019
10638,Clear,2019
10639,Clear,2019
10640,Clear,2019
10641,Clear,2019
10642,Clear,2019
10643,Clear,2019
10644,Clear,2019
10645,Cloudy,2019
10646,Clear,2019
10647,Clear,2019
10648,Clear,2019
10649,Clear,2019
10650,Clear,2019
10651,Clear,2019
10652,Clear,2019
10653,Clear,2019
10654,Clear,2019
10655,Clear,2019
10656,Clear,2019
10657,Cloudy,2019
10658,Clear,2019
10659,Clear,2019
10660,Clear,2019
10661,Clear,2019
10662,Cloudy,2019
10663,Clear,2019
10664,Cloudy,2019
10665,Cloudy,2019
10666,Clear,2019
10667,Rain,2019
10668,Cloudy,2019
10669,Cloudy,2019
10670,Clear,2019
10671,Clear,2019
10672,Clear,2019
10673,Clear,2019
10674,Clear,2019
10675,Cloudy,2019
10676,Clear,2019
10677,Clear,2019
10678,Clear,2019
10679,Clear,2019
10680,Rain,2019
10681,Rain,2019
10682,Rain,2019
10683,Clear,2019
10684,Clear,2019
10685,Clear,2019
10686,Clear,2019
10687,Clear,2019
10688,Rain,2019
10689,Rain,2019
10690,Rain,2019
10691,Rain,2019
10692,Rain,2019
10693,Cloudy,2019
10694,Rain,2019
10695,Rain,2019
10696,Clear,2019
10697,Rain,2019
10698,Clear,2019
10699,Clear,2019
10700,Clear,2019
10701,Rain,2019
10702,Rain,2019
10703,Clear,2019
10704,Rain,2019
10705,Rain,2019
10706,Rain,2019
10707,Rain,2019
10708,Clear,2019
10709,Clear,2019
10710,Clear,2019
10711,Clear,2019
10712,Clear,2019
10713,Clear,2019
10714,Clear,2019
10715,Cloudy,2019
10716,Clear,2019
10717,Clear,2019
10718,Clear,2019
10719,Clear,2019
10720,Clear,2019
10721,Cloudy,2019
10722,Clear,2019
10723,Cloudy,2019
10724,Clear,2019
10725,Clear,2019
10726,Clear,2019
10727,Clear,2019
10728,Clear,2019
10729,Clear,2019
10730,Clear,2019
10731,Cloudy,2019
10732,Rain,2019
10733,Clear,2019
10734,Cloudy,2019
10735,Clear,2019
10736,Clear,2019
10737,Clear,2019
10738,Clear,2019
10739,Clear,2019
10740,Clear,2019
10741,Cloudy,2019
10742,Clear,2019
10743,Cloudy,2019
10744,Clear,2019
10745,Clear,2019
10746,Clear,2019
10747,Clear,2019
10748,Cloudy,2019
10749,Clear,2019
10751,Clear,2019
10752,Rain,2019
10753,Clear,2019
10754,Clear,2019
10755,Clear,2019
10756,Cloudy,2019
10757,Not Reported,2019
10758,Clear,2019
10759,Clear,2019
10760,Clear,2019
10761,Clear,2019
10762,Cloudy,2019
10763,Cloudy,2019
10764,Clear,2019
10765,Clear,2019
10766,Clear,2019
10767,Clear,2019
10768,Clear,2019
10769,Clear,2019
10770,Cloudy,2019
10771,Clear,2019
10772,Clear,2019
10773,Clear,2019
10774,Rain,2019
10775,Clear,2019
10776,Clear,2019
10777,Clear,2019
10778,Rain,2019
10779,Cloudy,2019
10780,Clear,2019
10781,Cloudy,2019
10782,Clear,2019
10783,Clear,2019
10784,Clear,2019
10785,Clear,2019
10786,Clear,2019
10787,Clear,2019
10788,Clear,2019
10789,Clear,2019
10790,Clear,2019
10791,Clear,2019
10792,Cloudy,2019
10793,Clear,2019
10794,Clear,2019
10795,Clear,2019
10796,Reported as Unknown,2019
10797,Clear,2019
10798,Clear,2019
10799,Rain,2019
10800,Clear,2019
10801,Clear,2019
10802,Clear,2019
10803,Clear,2019
10804,Clear,2019
10805,Clear,2019
10806,Clear,2019
10807,Clear,2019
10808,Clear,2019
10809,Clear,2019
10810,Cloudy,2019
10811,Cloudy,2019
10812,Rain,2019
10813,"Fog, Smog, Smoke",2019
10814,Clear,2019
10815,Cloudy,2019
10816,Clear,2019
10817,Cloudy,2019
10818,Cloudy,2019
10819,Clear,2019
10820,Cloudy,2019
10821,Cloudy,2019
10822,Clear,2019
10823,Clear,2019
10824,Clear,2019
10825,Clear,2019
10826,Clear,2019
10827,Clear,2019
10828,Clear,2019
10829,Clear,2019
10830,Clear,2019
10831,Clear,2019
10832,Clear,2019
10833,Rain,2019
10834,Rain,2019
10835,Rain,2019
10836,Rain,2019
10837,Rain,2019
10838,Clear,2019
10839,Clear,2019
10840,Clear,2019
10841,Clear,2019
10842,Clear,2019
10843,Rain,2019
10844,Rain,2019
10845,Rain,2019
10846,Clear,2019
10847,Rain,2019
10848,Clear,2019
10849,Rain,2019
10850,Clear,2019
10851,Clear,2019
10852,Clear,2019
10853,Clear,2019
10854,Clear,2019
10855,Clear,2019
10856,Clear,2019
10857,Cloudy,2019
10858,Cloudy,2019
10859,Cloudy,2019
10860,Clear,2019
10861,Clear,2019
10862,Clear,2019
10863,Clear,2019
10864,Cloudy,2019
10865,Clear,2019
20001,Clear,2019
20002,Snow,2019
20003,Clear,2019
20004,Clear,2019
20005,Clear,2019
20006,Reported as Unknown,2019
20007,Snow,2019
20008,Clear,2019
20010,Clear,2019
20011,Snow,2019
20012,Cloudy,2019
20013,Cloudy,2019
20014,Cloudy,2019
20015,Clear,2019
20016,Clear,2019
20017,Clear,2019
